Car_id,Dealer_Name,Dealer_No ,Dealer_Region
C_CND_000001,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_000002,C & M Motors Inc,60504-7114,Aurora
C_CND_000003,Capitol KIA,38701-8047,Greenville
C_CND_000004,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_000005,Chrysler Plymouth,53546-9427,Janesville
C_CND_000006,Classic Chevy,85257-3102,Scottsdale
C_CND_000007,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_000008,U-Haul CO,78758-7841,Austin
C_CND_000009,Rabun Used Car Sales,85257-3102,Pasco
C_CND_000010,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_000011,Race Car Help,78758-7841,Austin
C_CND_000012,Race Car Help,78758-7841,Pasco
C_CND_000013,Saab-Belle Dodge,60504-7114,Aurora
C_CND_000014,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_000015,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_000016,C & M Motors Inc,60504-7114,Aurora
C_CND_000017,Capitol KIA,38701-8047,Greenville
C_CND_000018,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_000019,Chrysler Plymouth,53546-9427,Janesville
C_CND_000020,Classic Chevy,85257-3102,Scottsdale
C_CND_000021,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_000022,Classic Chevy,85257-3102,Austin
C_CND_000023,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_000024,Star Enterprises Inc,99301-3882,Pasco
C_CND_000025,Suburban Ford,53546-9427,Janesville
C_CND_000026,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_000027,U-Haul CO,78758-7841,Austin
C_CND_000028,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_000029,Race Car Help,78758-7841,Janesville
C_CND_000030,Ryder Truck Rental and Leasing,06457-3834,Scottsdale
C_CND_000031,Saab-Belle Dodge,60504-7114,Austin
C_CND_000032,Scrivener Performance Engineering,38701-8047,Middletown
C_CND_000033,Star Enterprises Inc,99301-3882,Aurora
C_CND_000034,Tri-State Mack Inc,85257-3102,Greenville
C_CND_000035,U-Haul CO,78758-7841,Pasco
C_CND_000036,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_000037,Enterprise Rent A Car,60504-7114,Aurora
C_CND_000038,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_000039,Hatfield Volkswagen,99301-3882,Pasco
C_CND_000040,Star Enterprises Inc,99301-3882,Pasco
C_CND_000041,Suburban Ford,53546-9427,Janesville
C_CND_000042,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_000043,U-Haul CO,78758-7841,Austin
C_CND_000044,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_000045,Enterprise Rent A Car,60504-7114,Aurora
C_CND_000046,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_000047,Hatfield Volkswagen,99301-3882,Pasco
C_CND_000048,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_000049,Race Car Help,78758-7841,Austin
C_CND_000050,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_000051,Saab-Belle Dodge,60504-7114,Aurora
C_CND_000052,Progressive Shippers Cooperative Association No,53546-9427,Austin
C_CND_000053,C & M Motors Inc,60504-7114,Scottsdale
C_CND_000054,Scrivener Performance Engineering,38701-8047,Middletown
C_CND_000055,Chrysler of Tri-Cities,99301-3882,Middletown
C_CND_000056,Iceberg Rentals,53546-9427,Janesville
C_CND_000057,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_000058,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_000059,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_000060,C & M Motors Inc,60504-7114,Aurora
C_CND_000061,Ryder Truck Rental and Leasing,06457-3834,Janesville
C_CND_000062,Iceberg Rentals,53546-9427,Janesville
C_CND_000063,McKinney Dodge Chrysler Jeep,85257-3102,Austin
C_CND_000064,Nebo Chevrolet,06457-3834,Middletown
C_CND_000065,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_000066,Star Enterprises Inc,99301-3882,Pasco
C_CND_000067,Suburban Ford,53546-9427,Janesville
C_CND_000068,Chrysler Plymouth,53546-9427,Aurora
C_CND_000069,Classic Chevy,85257-3102,Greenville
C_CND_000070,Clay Johnson Auto Sales,78758-7841,Pasco
C_CND_000071,Nebo Chevrolet,06457-3834,Middletown
C_CND_000072,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_000073,Pars Auto Sales,38701-8047,Greenville
C_CND_000074,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_000075,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_000076,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_000077,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_000078,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_000079,Classic Chevy,85257-3102,Scottsdale
C_CND_000080,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_000081,Tri-State Mack Inc,85257-3102,Greenville
C_CND_000082,Enterprise Rent A Car,60504-7114,Aurora
C_CND_000083,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_000084,Pars Auto Sales,38701-8047,Greenville
C_CND_000085,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_000086,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_000087,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_000088,Race Car Help,78758-7841,Austin
C_CND_000089,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_000090,U-Haul CO,78758-7841,Austin
